Timestamp_s,Latency_ms,Status
27.421,106.49,200
27.537,102.28,200
25.811,2206.36,200
26.001,2083.44,200
28.028,105.86,200
28.144,102.83,200
26.405,2184.15,200
26.527,2115.37,200
28.599,104.42,200
28.714,103.87,200
26.970,2195.37,200
27.087,2149.35,200
29.175,104.88,200
29.292,102.60,200
27.508,2253.15,200
27.650,2130.43,200
29.771,106.74,200
29.888,102.00,200
28.094,2216.88,200
28.257,2076.12,200
30.321,104.65,200
30.436,104.41,200
28.653,2190.93,200
28.828,2078.55,200
30.854,106.67,200
30.970,103.43,200
29.246,2156.98,200
29.404,2104.97,200
31.413,108.18,200
31.531,103.00,200
29.790,2308.55,200
30.000,2139.62,200
32.109,106.05,200
32.225,101.27,200
30.551,2195.53,200
30.343,2500.61,200
32.756,108.61,200
32.875,104.22,200
30.916,2335.07,200
33.262,103.74,200
31.084,2366.84,200
33.461,151.72,200
31.520,2280.23,200
33.810,114.05,200
31.645,2369.28,200
34.024,102.12,200
32.150,2193.17,200
34.353,103.98,200
32.337,2241.06,200
34.588,103.95,200
32.854,1977.25,200
34.841,101.70,200
32.989,2173.46,200
35.173,106.12,200
33.375,1988.45,200
35.374,104.46,200
33.623,2111.27,200
35.744,102.33,200
33.934,1988.04,200
35.932,104.43,200
34.136,2204.12,200
34.467,1942.93,200
36.350,100.83,200
36.461,104.54,200
34.702,2249.94,200
34.953,2036.96,200
36.962,105.74,200
37.078,104.05,200
35.289,2222.59,200
35.489,2034.40,200
37.522,103.19,200
37.635,101.35,200
35.857,2180.98,200
36.047,2028.05,200
38.048,107.37,200
38.165,102.38,200
36.420,2206.20,200
36.576,2069.99,200
38.636,107.29,200
38.754,100.88,200
37.000,2185.15,200
37.192,2006.24,200
39.195,106.22,200
39.311,102.96,200
37.533,2219.92,200
37.746,2026.42,200
39.763,104.80,200
39.886,101.50,200
38.278,2004.99,200
38.085,2232.15,200
40.293,104.53,200
40.407,101.60,200
38.656,2149.68,200
40.816,103.48,200
38.865,2059.14,200
40.934,101.77,200
39.208,2073.84,200
41.292,106.47,200
39.425,2069.72,200
41.505,105.74,200
39.783,2028.81,200
41.822,105.80,200
39.997,2032.66,200
42.040,108.01,200
40.327,2032.26,200
42.369,102.21,200
40.519,2087.19,200
42.616,101.28,200
40.929,1976.43,200
42.916,112.72,200
41.046,2158.88,200
43.215,104.56,200
41.409,2029.47,200
