source_path,duplicate_group_id,sha256,size,canonical_candidate,safe_to_archive,safe_to_delete,reason
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_tri_cb/campaign_nlp_mobilebert_tricb_c48.csv,DUP_GROUP_046,bbf05af76f86e82d53251a446b05f1b6dca36ef24679d87d7ab0a4bea116516c,7448112,data/results/MobileBERT_SST2_tri_cb/campaign_nlp_mobilebert_tricb_c48.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_tri_cb/campaign_nlp_mobilebert_tricb_c48.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_tri_cb/campaign_nlp_mobilebert_tricb_c64.csv,DUP_GROUP_047,961668ae0c070b0080faf5bd70adbaff448434f0d7949cf58cbaa615f5e85628,8498919,data/results/MobileBERT_SST2_tri_cb/campaign_nlp_mobilebert_tricb_c64.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_tri_cb/campaign_nlp_mobilebert_tricb_c64.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_tri_cb/campaign_nlp_mobilebert_tricb_c96.csv,DUP_GROUP_048,8bdc05be2925c0811fc994e7f0c3b2dc04119ec9836d54525dbe7a2d440ef250,9297809,data/results/MobileBERT_SST2_tri_cb/campaign_nlp_mobilebert_tricb_c96.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_tri_cb/campaign_nlp_mobilebert_tricb_c96.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_tri_cb/summary_mobilebert_tricb.csv,DUP_GROUP_049,fa1f5009241d7b91b0586f852161d8ff68eeb2b8070b4a3e3ab99cb9814b9dcd,391,data/results/MobileBERT_SST2_tri_cb/summary_mobilebert_tricb.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_tri_cb/summary_mobilebert_tricb.csv
submit_png_graypulse_verified/Rest/data/ResNet50_CIFAR10_gateway_ablation/benchmark_resnet_gatewaysmart.json,DUP_GROUP_050,64ca51bba3fc58a8a442d88a57115fb57a441fa5bffd920e17a87662fca25912,283,data/results/ResNet50_CIFAR10_gateway_ablation/benchmark_resnet_gatewaysmart.json,True,True,Byte-for-byte duplicate copy of data/results/ResNet50_CIFAR10_gateway_ablation/benchmark_resnet_gatewaysmart.json
submit_png_graypulse_verified/Rest/data/ResNet50_CIFAR10_gateway_ablation/benchmark_resnet_gatewaystrawman.json,DUP_GROUP_051,ee12477c2371a8d858a8f271e222b76528e618ace561f32c68f9e7b8d04cf594,288,data/results/ResNet50_CIFAR10_gateway_ablation/benchmark_resnet_gatewaystrawman.json,True,True,Byte-for-byte duplicate copy of data/results/ResNet50_CIFAR10_gateway_ablation/benchmark_resnet_gatewaystrawman.json
submit_png_graypulse_verified/Rest/data/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaysmart_c16.csv,DUP_GROUP_052,8af0cb9b0afe869315a66a82dd1f5a0c292908765a021c9ed55531619667a925,1039118,data/results/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaysmart_c16.csv,True,True,Byte-for-byte duplicate copy of data/results/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaysmart_c16.csv
submit_png_graypulse_verified/Rest/data/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaysmart_c24.csv,DUP_GROUP_053,6835203d7bb9e6b2bcbab6322503be79b2a8940ea9cc9bfef08d3d9b037be685,1169024,data/results/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaysmart_c24.csv,True,True,Byte-for-byte duplicate copy of data/results/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaysmart_c24.csv
submit_png_graypulse_verified/Rest/data/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaysmart_c32.csv,DUP_GROUP_054,054a52b6eea2c803a867668bdbebf07b82ea2f119acb9956fad0a4046f9c09af,1236172,data/results/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaysmart_c32.csv,True,True,Byte-for-byte duplicate copy of data/results/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaysmart_c32.csv
submit_png_graypulse_verified/Rest/data/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaysmart_c48.csv,DUP_GROUP_055,76efbb98739d8a23ef000458729b1815aef2f98e3ba68826479b53e4060d202b,1267274,data/results/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaysmart_c48.csv,True,True,Byte-for-byte duplicate copy of data/results/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaysmart_c48.csv
submit_png_graypulse_verified/Rest/data/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaysmart_c64.csv,DUP_GROUP_056,07901ef3882ce2c97f26a4a6db58ef640cc97e8bc91285fe6acdcfba2db22e78,1245945,data/results/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaysmart_c64.csv,True,True,Byte-for-byte duplicate copy of data/results/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaysmart_c64.csv
submit_png_graypulse_verified/Rest/data/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaystrawman_c16.csv,DUP_GROUP_057,8ebb993bf3b4b9a5c5172bf1d461a01f37cbc415f2c449b9bafc83f350c5b21f,1050667,data/results/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaystrawman_c16.csv,True,True,Byte-for-byte duplicate copy of data/results/ResNet50_CIFAR10_gateway_ablation/campaign_cv_resnet_gatewaystrawman_c16.csv
